date,hospital,deaths
07/08/2020,x,128
14/08/2020,x,125
21/08/2020,x,126
28/08/2020,x,97
04/09/2020,x,74
11/09/2020,x,97
18/09/2020,x,134
25/09/2020,x,203
02/10/2020,x,296
09/10/2020,x,401
16/10/2020,x,622
23/10/2020,x,913
30/10/2020,x,"1,258"
06/11/2020,x,"1,771"
