date,hospital,deaths
03/01/2020,x,0
10/01/2020,x,0
17/01/2020,x,0
24/01/2020,x,0
31/01/2020,x,0
07/02/2020,x,0
14/02/2020,x,0
21/02/2020,x,0
28/02/2020,x,0
06/03/2020,x,0
13/03/2020,x,5
20/03/2020,x,103
27/03/2020,x,539
03/04/2020,x,3475
10/04/2020,x,6213
17/04/2020,x,8758
24/04/2020,x,8237
01/05/2020,x,6035
08/05/2020,x,3930
15/05/2020,x,3810
22/05/2020,x,2589
29/05/2020,x,1822
05/06/2020,x,1588
12/06/2020,x,1114
19/06/2020,x,783
26/06/2020,x,606
03/07/2020,x,532
10/07/2020,x,366
17/07/2020,x,295
24/07/2020,x,217
31/07/2020,x,193
07/08/2020,x,152
14/08/2020,x,139
21/08/2020,x,138
28/08/2020,x,101
04/09/2020,x,78
11/09/2020,x,99
18/09/2020,x,139
25/09/2020,x,215
02/10/2020,x,321
09/10/2020,x,438
16/10/2020,x,670
23/10/2020,x,978
30/10/2020,x,1379
06/11/2020,x,1937
13/11/2020,x,2466
20/11/2020,x,2697
27/11/2020,x,3040
