title,subtitle,charturl,commentary,sourcetext,sourcelocation,statcategory,colour,button,datestamp
Infections are levelling off,"Percentage testing positive for COVID-19, England",../infect/index.html,"In recent weeks, the positivity rate in England has shown signs of levelling.",Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/latest,infections,#0C645A,InfectionsButton,07/12/2020
Deaths in England and Wales are rising,"Deaths registered by week involving COVID-19, England and Wales, 28 Dec 2019 to 27 Nov 2020",../deaths/index.html,The number of deaths involving COVID-19 in England and Wales has risen for the 11th consecutive week.,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/latest,deaths,#871A5B,DeathsButton,07/12/2020
Personal well-being scores remained stable,"Overall, how satisfied are you with your life nowadays?",../society/index.html,Average personal well-being scores for life satisfaction (6.8) increased slightly compared with last week,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/bulletins/coronavirusandthesocialimpactsongreatbritain/latest,society,#746CB1,SocietyButton,07/12/2020
