date,hospital,deaths
30/03/2020,x,7.2
06/04/2020,x,7.1
13/04/2020,x,6.9
20/04/2020,x,7.1
27/04/2020,x,6.8
03/05/2020,x,6.9
17/05/2020,x,6.9
24/05/2020,x,7
31/05/2020,x,7.2
07/06/2020,x,7.1
14/06/2020,x,6.8
21/06/2020,x,6.9
28/06/2020,x,7
05/07/2020,x,6.9
12/07/2020,x,7
19/07/2020,x,6.9
26/07/2020,x,7
02/08/2020,x,7.1
09/08/2020,x,7
16/08/2020,x,7
30/08/2020,x,7.1
13/09/2020,x,7.1
20/09/2020,x,6.9
27/09/2020,x,6.8
04/10/2020,x,6.9
11/10/2020,x,6.8
18/10/2020,x,6.7
25/10/2020,x,6.7
01/11/2020,x,6.5
08/11/2020,x,6.8
15/11/2020,x,6.7
22/11/2020,x,6.8
